TCGA-VQ-A94P TCGA-VQ-A94P TCGA-VQ-A94P
5.319 0.091 0.72475
7.5149 0.1849 0.7764
6.457 0.4829 0.82485
9.1785 0.30095 0.4438
18.4354 0.5646 0.7109
8.5158 0.037 0.8224
3.4372 0.80585 0.7649
8.6746 0.4262 0.7677
7.0588 0.1602 0.9156
12.2644 0.47845 0.393
1.1564 0.82585 0.0255
5.3337 0.08495 0.66055
11.0167 0.10775 0.1211
5.1628 0.3453 0.5206
4.4524 0.66365 0.6264
6.5545 0.7227 0.8415
8.8992 0.7553 0.55965
9.5724 0.5617 0.83
1.608 0.6066 0.612
7.9615 0.07825 0.255
0.0 0.863 0.5452
7.1322 0.295 0.732
10.4801 0.3922 0.836
8.0534 0.6095 0.7843
10.6401 0.4086 0.5174
6.002 0.4938 0.4824
11.889 0.4711 0.5914
3.9 0.11075 0.7391
9.3532 0.2513 0.1993
5.8047 0.02835 0.2167
5.8968 0.2084 0.3126
8.7466 0.0491 0.7145
5.7062 0.4883 0.5283
2.0967 0.0571 0.4955
6.8338 0.4245 0.0848
4.4252 0.1687 0.7625
7.55 0.7611 0.5668
9.38 0.1149 0.43135
0.8634 0.4544 0.39165
7.2765 0.3416 0.534
6.1341 0.0341 0.671
6.7593 0.21545 0.5234
1.9515 0.71015 0.8742
11.1031 0.1013 0.0578
10.7333 0.1403 0.3823
8.2271 0.187 0.5095
8.0644 0.02605 0.032
12.357 0.0252 0.0467
0.0 0.33375 0.3705
0.4954 0.5921 0.51165
13.1878 0.4047 0.4245
2.0967 0.6773 0.9822
6.8543 0.6423 0.7813
7.7499 0.26585 0.14265
12.348 0.63495 0.621
12.8874 0.6085 0.9518
3.9 0.5356 0.7617
3.7323 0.8123 0.079
7.2101 0.1965 0.7998
13.0702 0.603 0.8163
6.0652 0.5518 0.8659
5.6127 0.7069 0.8925
10.2235 0.02225 0.065
6.1999 0.3304 0.8262
2.3496 0.5941 0.8698
8.125 0.0388 0.5275
6.3523 0.521 0.8799
12.3006 0.8874 0.4633
8.0688 0.0937 0.1888
3.3238 0.7809 0.6539
10.4432 0.1776 0.6447
6.634 0.2615 0.50415
6.0474 0.3299 0.6578
0 0.6591 0.74
0.4954 0.4175 0.5197
4.1535 0.5266 0.652
0.0 0.7088 0.3905
0.0 0.9336 0.4741
11.2696 0.0265 0.5419
1.1564 0.6725 0.5159
10.0731 0.78515 0.4497
7.0046 0.4773 0.4042
0.0 0.48465 0.6159
7.6996 0.1286 0.5421
2.3496 0.2077 0.3579
